step,total
0,696
1,301
2,0
3,0
4,1139
5,0
6,2947
7,874
8,2261
9,1639
10,2172
11,5380
12,2628
13,2568
14,1430
15,2102
16,1728
17,571
18,3179
19,4430
20,3412
21,1308
22,0
23,890
24,1206
25,762
26,1257
27,0
28,1008
29,1470
30,940
31,704
32,0
33,417
34,389
35,0
36,593
37,903
38,1500
39,2329
40,903
41,1115
42,602
43,0
44,2353
45,1800
46,2212
47,3528
