step,total
0,35992
1,18873
2,26853
3,13097
4,10293
5,4641
6,16159
7,9645
8,19440
9,20170
10,20553
11,35844
12,32004
13,26108
14,29691
15,26003
16,36973
17,31758
18,40889
19,42665
20,28395
21,18498
22,15028
23,19808
24,10210
25,10985
26,7328
27,10158
28,7097
29,6764
30,12188
31,6211
32,5905
33,4085
34,6357
35,6047
36,11878
37,19543
38,12516
39,22387
40,20928
41,21482
42,21836
43,23535
44,37100
45,25776
46,34819
47,38496
